id,code,nom,nom_min,annee,code_label,label,nom_site
"5","80182",CAYEUX-SUR-MER,Cayeux-sur-Mer,"2020","10",Grand Site de France,Baie de Somme
"12","80713",SAINT-QUENTIN-EN-TOURMONT,Saint-Quentin-en-Tourmont,"2020","10",Grand Site de France,Baie de Somme
"13","59183",DUNKERQUE,Dunkerque,"2020","999",Grand Site de France (projet),Dunes de Flandre (projet)
"18","80464",LANCHERES,Lanchères,"2020","10",Grand Site de France,Baie de Somme
"16","80600",NOYELLES-SUR-MER,Noyelles-sur-Mer,"2020","10",Grand Site de France,Baie de Somme
"1","80287",ESTREBOEUF,Estréboeuf,"2020","10",Grand Site de France,Baie de Somme
"17","59668",ZUYDCOOTE,Zuydcoote,"2020","999",Grand Site de France (projet),Dunes de Flandre (projet)
"40","80649",QUEND,Quend,"2020","10",Grand Site de France,Baie de Somme
"41","80688",RUE,Rue,"2020","10",Grand Site de France,Baie de Somme
"42","80721",SAINT-VALERY-SUR-SOMME,Saint-Valery-sur-Somme,"2020","10",Grand Site de France,Baie de Somme
"2","80161",CAHON,Cahon,"2020","10",Grand Site de France,Baie de Somme
"6","80787",VERCOURT,Vercourt,"2020","10",Grand Site de France,Baie de Somme
"3","80691",SAIGNEVILLE,Saigneville,"2020","10",Grand Site de France,Baie de Somme
"4","80692",SAILLY-FLIBEAUCOURT,Sailly-Flibeaucourt,"2020","10",Grand Site de France,Baie de Somme
"7","80332",FOREST-MONTIERS,Forest-Montiers,"2020","10",Grand Site de France,Baie de Somme
"8","80333",FORT-MAHON-PLAGE,Fort-Mahon-Plage,"2020","10",Grand Site de France,Baie de Somme
"9","80228",LE CROTOY,Le Crotoy,"2020","10",Grand Site de France,Baie de Somme
"15","59340",LEFFRINCKOUCKE,Leffrinckoucke,"2020","999",Grand Site de France (projet),Dunes de Flandre (projet)
"10","80087",BERNAY-EN-PONTHIEU,Bernay-en-Ponthieu,"2020","10",Grand Site de France,Baie de Somme
"11","59107",BRAY-DUNES,Bray-Dunes,"2020","999",Grand Site de France (projet),Dunes de Flandre (projet)
"14","59260",GHYVELDE,Ghyvelde,"2020","999",Grand Site de France (projet),Dunes de Flandre (projet)
"19","80110",BOISMONT,Boismont,"2020","10",Grand Site de France,Baie de Somme
"20","62025",AMBLETEUSE,Ambleteuse,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"21","62054",AUDINGHEN,Audinghen,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"22","62056",AUDRESSELLES,Audresselles,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"23","80806",VILLERS-SUR-AUTHIE,Villers-sur-Authie,"2020","10",Grand Site de France,Baie de Somme
"24","62307",ESCALLES,Escalles,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"25","80714",SAINT-QUENTIN-LA-MOTTE-CROIX-AU-BAILLY,Saint-Quentin-la-Motte-Croix-au-Bailly,"2020","10",Grand Site de France,Baie de Somme
"26","62774",SANGATTE,Sangatte,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"27","62806",TARDINGHEN,Tardinghen,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"28","62893",WIMEREUX,Wimereux,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"29","62899",WISSANT,Wissant,"2020","9",Grand Site de France,"Les Deux Caps Blanc-Nez, Gris-Nez"
"30","80556",MONS-BOUBERT,Mons-Boubert,"2020","10",Grand Site de France,Baie de Somme
"31","80637",PORT-LE-GRAND,Port-le-Grand,"2020","10",Grand Site de France,Baie de Somme
"32","80665",REGNIERE-ECLUSE,Regnière-Écluse,"2020","10",Grand Site de France,Baie de Somme
"33","80030",ARRY,Arry,"2020","10",Grand Site de France,Baie de Somme
"34","80039",AULT,Ault,"2020","10",Grand Site de France,Baie de Somme
"35","80146",BRUTELLES,Brutelles,"2020","10",Grand Site de France,Baie de Somme
"36","80303",FAVIERES,Favières,"2020","10",Grand Site de France,Baie de Somme
"37","80533",MERS-LES-BAINS,Mers-les-Bains,"2020","10",Grand Site de France,Baie de Somme
"38","80618",PENDE,Pendé,"2020","10",Grand Site de France,Baie de Somme
"39","80633",PONTHOILE,Ponthoile,"2020","10",Grand Site de France,Baie de Somme
"43","80826",WOIGNARUE,Woignarue,"2020","10",Grand Site de France,Baie de Somme
